Cause Code	Event Id	Description
0	4097	RRC CONN SETUP-SUCCESS
1	4097	RRC CONN SETUP-UNSPECIFIED
2	4097	RRC CONN SETUP-FAILURE IN RADIO PROCEDURE
3	4097	RRC CONN SETUP-EUTRAN GENERATED REASON
4	4097	RRC CONN SETUP-CELL UNAVAILABLE
5	4097	RRC CONN SETUP-LACK OF RESOURCES
6	4097	RRC CONN SETUP-ACTIVE USER LICENSE EXCEEDED
7	4097	RRC CONN SETUP-UNKNOWN ENBS1APID
8	4097	RRC CONN SETUP-UE CAPABILITY ENQUIRY TIMEOUT
9	4097	RRC CONN SETUP-S1 INTERFACE DOWN
10	4097	RRC CONN SETUP-INTRA LTE HANDOVER LICENSE REJECT
11	4097	RRC CONN SETUP-REJECT DUE TO REATTEMPT
12	4097	RRC CONN SETUP-REJECT DUE TO OVERLOAD
13	4097	RRC CONN SETUP-UE BEARERS REJECTED DUE TO ARP ADM REJ
14	4097	RRC CONN SETUP-UE BEARERS REJECTED DUE TO LICENSES MISSING
15	4097	RRC CONN SETUP-UE BEARERS REJECTED DUE TO ARP ADM REJ AND LICENSES MISSING
16	4097	RRC CONN SETUP-DSP RESTART
0	4098	S1 SIG CONN SETUP-SUCCESS
1	4098	S1 SIG CONN SETUP-S1 INTERFACE DOWN
2	4098	S1 SIG CONN SETUP-TIME OUT
3	4098	S1 SIG CONN SETUP-DSP RESTART
0	4125	UE CTXT RELEASE-UNSPECIFIED
1	4125	UE CTXT RELEASE-NORMAL RELEASE
2	4125	UE CTXT RELEASE-AUTHENTICATION FAILURE
3	4125	UE CTXT RELEASE-DETACH
4	4125	UE CTXT RELEASE-LOAD BALANCING TAU REQUIRED
5	4125	UE CTXT RELEASE-CS FALLBACK TRIGGERED
6	4125	UE CTXT RELEASE-UE NOT AVAILABLE FOR PS SERVICES
7	4125	UE CTXT RELEASE-HANDOVER CANCELLED
8	4125	UE CTXT RELEASE-SUCCESSFUL HANDOVER
9	4125	UE CTXT RELEASE-RELEASE DUE TO EUTRAN GENERATED REASON
10	4125	UE CTXT RELEASE-USER INACTIVITY
11	4125	UE CTXT RELEASE-RADIO CONNECTION WITH UE LOST
12	4125	UE CTXT RELEASE-RADIO RESOURCES NOT AVAILABLE
13	4125	UE CTXT RELEASE-FAILURE IN THE RADIO INTERFACE PROCEDURE
14	4125	UE CTXT RELEASE-TRANSPORT RESOURCES UNAVAILABLE
15	4125	UE CTXT RELEASE-HANDOVER TRIGGERED
16	4125	UE CTXT RELEASE-PARTIAL HANDOVER
17	4125	UE CTXT RELEASE-HANDOVER FAILURE IN TARGET EPC ENB OR TARGET SYSTEM
18	4125	UE CTXT RELEASE-HANDOVER TARGET NOT ALLOWED
19	4125	UE CTXT RELEASE-TS1RELOC OVERALL EXPIRY
20	4125	UE CTXT RELEASE-TS1RELOC PREP EXPIRY
21	4125	UE CTXT RELEASE-UNKNOWN TARGET ID
22	4125	UE CTXT RELEASE-NO RADIO RESOURCES AVAILABLE IN TARGET CELL
23	4125	UE CTXT RELEASE-UNKNOWN OR ALREADY ALLOCATED MME UE S1AP ID
24	4125	UE CTXT RELEASE-UNKNOWN OR ALREADY ALLOCATED ENB UE S1AP ID
25	4125	UE CTXT RELEASE-UNKNOWN OR INCONSISTENT PAIR OF UE S1AP ID
26	4125	UE CTXT RELEASE-HANDOVER DESIRABLE FOR RADIO REASONS
27	4125	UE CTXT RELEASE-TIME CRITICAL HANDOVER
28	4125	UE CTXT RELEASE-RESOURCE OPTIMISATION HANDOVER
29	4125	UE CTXT RELEASE-REDUCE LOAD IN SERVING CELL
30	4125	UE CTXT RELEASE-TX2RELOC OVERALL EXPIRY
31	4125	UE CTXT RELEASE-CELL NOT AVAILABLE
32	4125	UE CTXT RELEASE-REDIRECTION TOWARDS 1XRTT
33	4125	UE CTXT RELEASE-ENCRYPTION AND OR INTEGRITY ALGORITHMS NOT SUPPORTED
0	4106	INITIAL CTXT SETUP-SUCCESS
1	4106	INITIAL CTXT SETUP-UNSPECIFIED
2	4106	INITIAL CTXT SETUP-FAILURE IN RADIO PROCEDURE
3	4106	INITIAL CTXT SETUP-EUTRAN GENERATED REASON
4	4106	INITIAL CTXT SETUP-CELL UNAVAILABLE
5	4106	INITIAL CTXT SETUP-LACK OF RESOURCES
6	4106	INITIAL CTXT SETUP-ACTIVE USER LICENSE EXCEEDED
7	4106	INITIAL CTXT SETUP-UNKNOWN ENBS1APID
8	4106	INITIAL CTXT SETUP-UE CAPABILITY ENQUIRY TIMEOUT
9	4106	INITIAL CTXT SETUP-MULTIPLE ERAB LICENSE EXCEEDED
10	4106	INITIAL CTXT SETUP-ONGOING HANDOVER
11	4106	INITIAL CTXT SETUP-TRANSPORT REJECT
12	4106	INITIAL CTXT SETUP-DRB SETUP REJECT
13	4106	INITIAL CTXT SETUP-S1 INTERFACE DOWN
14	4106	INITIAL CTXT SETUP-ALLOCATION RETENTION REJECT
15	4106	INITIAL CTXT SETUP-TO SECURITY SETUP
16	4106	INITIAL CTXT SETUP-FAILED SECURITY SETUP
17	4106	INITIAL CTXT SETUP-SRB2 SETUP FAILURE
18	4106	INITIAL CTXT SETUP-RLCUM LICENSE MISSING
19	4106	INITIAL CTXT SETUP-RLCUM CHANGE REJECT
20	4106	INITIAL CTXT SETUP-LSM EMERGENCY CALL LICENSE MISSING
21	4106	INITIAL CTXT SETUP-CIPHERING INTEGRITY ALG MISMATCH
22	4106	INITIAL CTXT SETUP-CSFB LICENSE MISSING
23	4106	INITIAL CTXT SETUP-DSP RESTART
24	4106	INITIAL CTXT SETUP-CSFB UNDEFINED MOB FREQ REL
